"Crash.ID","State","Month","Year","Crash.Type","Number.Fatalities","Bus.Involvement","Heavy.Rigid.Truck.Involvement","Articulated.Truck.Involvement","Speed.Limit","National.LGA.Name.2017","Christmas.Period","Easter.Period","Time.of.day"
20202001,"Vic",12,2020,"Multiple",1,"No","No","Yes","100","Horsham (RC)","Yes","No","Night"
20204057,"SA",12,2020,"Single",1,"No","No","No","100","Tatiara (DC)","No","No","Day"
20203145,"Qld",12,2020,"Single",1,"No","No","No","60","Sunshine Coast (R)","No","No","Night"
20203208,"Qld",12,2020,"Single",1,"No","No","No","100","Bundaberg (R)","Yes","No","Night"
20203117,"Qld",12,2020,"Multiple",2,"No","No","Yes","100","Cloncurry (S)","Yes","No","Day"
20201199,"NSW",12,2020,"Single",1,"No","No","No","50","Upper Lachlan","No","No","Day"
20201121,"NSW",12,2020,"Single",1,"No","No","Yes","100","Muswellbrook","No","No","Day"
20202041,"Vic",12,2020,"Single",1,"No","No","No",NA,"Moira (S)","No","No","Day"
20202090,"Vic",12,2020,"Multiple",1,"No","No","No","100","Latrobe (C) (Vic.)","Yes","No","Day"
20206005,"Tas",12,2020,"Single",1,"No","No","No","50","Glenorchy (C)","Yes","No","Night"
20205129,"WA",12,2020,"Single",1,"No","No","No","80",NA,"No","No","Night"
20203132,"Qld",12,2020,"Single",1,"No","No","No","100","Toowoomba (R)","Yes","No","Day"
20203001,"Qld",12,2020,"Single",1,"No","No","No","110","Mount Isa (C)","No","No","Night"
20205054,"WA",12,2020,"Multiple",2,"No","No","Yes","110",NA,"No","No","Day"
20201116,"NSW",12,2020,"Single",1,"No","No","No","80","Wentworth","No","No","Night"
20205090,"WA",12,2020,"Multiple",1,"No","No","No","100",NA,"No","No","Day"
20201094,"NSW",12,2020,"Multiple",2,"No","No","No","100","Federation","Yes","No","Day"
20206029,"Tas",12,2020,"Single",1,"No","No","No","100","Waratah/Wynyard (M)","No","No","Night"
20201064,"NSW",12,2020,"Single",1,"No","No","No","60","Georges River","No","No","Night"
20207021,"NT",12,2020,"Single",2,"No","No","No","60","Katherine (T)","No","No","Night"
20207024,"NT",12,2020,"Single",1,"No","No","No","110","Roper Gulf (R)","No","No","Night"
20201262,"NSW",12,2020,"Single",1,"No","No","No","100","Narromine","Yes","No","Day"
20201226,"NSW",12,2020,"Single",1,"No","No","No","80","Coffs Harbour","No","No","Day"
20201210,"NSW",12,2020,"Single",1,"No","No","No","100","Walcha","Yes","No","Day"
20203155,"Qld",12,2020,"Single",1,"No","No","No","60","Central Highlands (R) (Qld)","No","No","Night"
20204017,"SA",12,2020,"Multiple",1,"No","No","No","60","Norwood Payneham St Peters (C)","Yes","No","Day"
20201114,"NSW",12,2020,"Multiple",1,"No","No","No","100","Muswellbrook","No","No","Night"
20203017,"Qld",12,2020,"Single",1,"No","No","No","100","Cassowary Coast (R)","Yes","No","Day"
20202148,"Vic",12,2020,"Multiple",1,"No","No","No","60","Moorabool (S)","No","No","Night"
20202038,"Vic",12,2020,"Multiple",2,"No","No","No","100","Glenelg (S)","Yes","No","Day"
20203065,"Qld",12,2020,"Single",1,"No","No","No","70","Sunshine Coast (R)","No","No","Night"
20204043,"SA",12,2020,"Single",1,"No","No","No","60","Marion (C)","Yes","No","Day"
20205135,"WA",12,2020,"Multiple",1,"No","No","Yes","110",NA,"No","No","Day"
20203202,"Qld",12,2020,"Single",1,"No","No","No","100","Charters Towers (R)","Yes","No","Day"
20203138,"Qld",12,2020,"Single",1,"No","No","No","80","Sunshine Coast (R)","Yes","No","Night"
20205024,"WA",12,2020,"Multiple",1,"No","No","Yes","60",NA,"No","No","Day"
20201069,"NSW",12,2020,"Single",1,"No","No","No","60","Parramatta","Yes","No","Night"
20201145,"NSW",12,2020,"Single",1,"No","No","No","100","Narrandera","No","No","Day"
20201001,"NSW",12,2020,"Single",1,"No","No","No","80","Camden","Yes","No","Night"
20203195,"Qld",12,2020,"Single",1,"No","No","No","100","Central Highlands (R) (Qld)","No","No","Night"
20202134,"Vic",12,2020,"Multiple",1,"No","No","No","50","Greater Geelong (C)","No","No","Day"
20201166,"NSW",12,2020,"Single",1,"No","No","No","100","Bega Valley","No","No","Day"
20208006,"ACT",12,2020,"Single",1,"No","No","No",NA,NA,"No","No","Day"
20205029,"WA",12,2020,"Single",1,"No","No","No","50",NA,"No","No","Day"
20201071,"NSW",12,2020,"Multiple",1,"No","Yes","No","70","Penrith","No","No","Day"
20201093,"NSW",12,2020,"Single",1,"No","No","No","100","Walcha","No","No","Night"
20204047,"SA",12,2020,"Single",1,"No","No","No","80","Onkaparinga (C)","No","No","Day"
20201048,"NSW",12,2020,"Multiple",1,"No","Yes","No","100","Armidale Regional","No","No","Day"
20201168,"NSW",12,2020,"Multiple",1,"No","No","No","50","Lake Macquarie","No","No","Day"
20202152,"Vic",12,2020,"Single",1,"No","No","No","100","Mount Alexander (S)","No","No","Day"
20203223,"Qld",12,2020,"Multiple",1,"No","No","No","100","Bundaberg (R)","No","No","Day"
