"Crash.ID","State","Month","Year","Crash.Type","Bus.Involvement","Heavy.Rigid.Truck.Involvement","Articulated.Truck.Involvement","Speed.Limit","Road.User","Gender","Age","National.LGA.Name.2017","Christmas.Period","Easter.Period","Age.Group","Time.of.day"
20203116,"Qld",12,2020,"Multiple","No","No","No","60","Motorcycle rider","Male",28,"Cairns (R)","No","No","26_to_39","Night"
20201210,"NSW",12,2020,"Single","No","No","No","100","Passenger","Male",89,"Walcha","Yes","No","75_or_older","Day"
20203202,"Qld",12,2020,"Single","No","No","No","100","Driver","Male",21,"Charters Towers (R)","Yes","No","17_to_25","Day"
20201093,"NSW",12,2020,"Single","No","No","No","100","Driver","Male",81,"Walcha","No","No","75_or_older","Night"
20203161,"Qld",12,2020,"Multiple","No","No","No","70","Driver","Female",66,"Moreton Bay (R)","No","No","65_to_74","Night"
20203179,"Qld",12,2020,"Multiple","No","No","No","100","Passenger","Male",79,"Lockyer Valley (R)","No","No","75_or_older","Day"
20203104,"Qld",12,2020,"Single","No","No","No","100","Driver","Male",34,"Toowoomba (R)","No","No","26_to_39","Day"
20204084,"SA",12,2020,"Single","No","No","No","50","Pedestrian","Male",36,"Coober Pedy (DC)","No","No","26_to_39","Night"
20204004,"SA",12,2020,"Multiple","No","No","Yes","110","Driver","Female",30,"Port Pirie City and Dists (M)","Yes","No","26_to_39","Day"
20201094,"NSW",12,2020,"Multiple","No","No","No","100","Driver","Male",62,"Federation","Yes","No","40_to_64","Day"
20201048,"NSW",12,2020,"Multiple","No","Yes","No","100","Driver","Male",19,"Armidale Regional","No","No","17_to_25","Day"
20203100,"Qld",12,2020,"Single","No","No","No","50","Pedestrian","Male",79,"Moreton Bay (R)","No","No","75_or_older","Day"
20203067,"Qld",12,2020,"Multiple","No","No","Yes","100","Driver","Female",62,"Western Downs (R)","No","No","40_to_64","Day"
20203132,"Qld",12,2020,"Single","No","No","No","100","Driver","Male",70,"Toowoomba (R)","Yes","No","65_to_74","Day"
20204057,"SA",12,2020,"Single","No","No","No","100","Motorcycle rider","Female",17,"Tatiara (DC)","No","No","17_to_25","Day"
20201050,"NSW",12,2020,"Single","Yes","No","No","40","Pedestrian","Female",24,"Waverley","No","No","17_to_25","Day"
20202106,"Vic",12,2020,"Single","No","No","No","100","Driver","Male",62,"Gannawarra (S)","No","No","40_to_64","Day"
20203155,"Qld",12,2020,"Single","No","No","No","60","Driver","Male",48,"Central Highlands (R) (Qld)","No","No","40_to_64","Night"
20202143,"Vic",12,2020,"Single","No","No","No","80","Motorcycle rider","Male",61,"Nillumbik (S)","No","No","40_to_64","Day"
20203094,"Qld",12,2020,"Single","No","No","No","100","Pedestrian","Male",19,"Mareeba (S)","No","No","17_to_25","Day"
20202081,"Vic",12,2020,"Multiple","No","No","No","100","Pedal cyclist","Male",51,"Golden Plains (S)","No","No","40_to_64","Night"
20204043,"SA",12,2020,"Single","No","No","No","60","Pedal cyclist","Male",75,"Marion (C)","Yes","No","75_or_older","Day"
20201145,"NSW",12,2020,"Single","No","No","No","100","Driver","Female",26,"Narrandera","No","No","26_to_39","Day"
20203147,"Qld",12,2020,"Single","No","No","No","60","Pedestrian","Male",27,"Moreton Bay (R)","Yes","No","26_to_39","Night"
20203017,"Qld",12,2020,"Single","No","No","No","100","Driver","Male",28,"Cassowary Coast (R)","Yes","No","26_to_39","Day"
20202033,"Vic",12,2020,"Multiple","No","No","No",NA,"Passenger","Male",73,"East Gippsland (S)","No","No","65_to_74","Day"
20201071,"NSW",12,2020,"Multiple","No","Yes","No","70","Pedestrian","Female",10,"Penrith","No","No","0_to_16","Day"
